,country,1850_lat_min,1850_long_min,1850_lat_max,1850_long_max,1900_lat_min,1900_long_min,1900_lat_max,1900_long_max,1910_lat_min,1910_long_min,1910_lat_max,1910_long_max,1945_lat_min,1945_long_min,1945_lat_max,1945_long_max,1980_lat_min,1980_long_min,1980_lat_max,1980_long_max,2015_lat_min,2015_long_min,2015_lat_max,2015_long_max,SSP1_lat_min,SSP1_long_min,SSP1_lat_max,SSP1_long_max,SSP3_lat_min,SSP3_long_min,SSP3_lat_max,SSP3_long_max,SSP5_lat_min,SSP5_long_min,SSP5_lat_max,SSP5_long_max
0,Afghanistan,71.5,38.5,70.5,37.5,71.5,38.5,70.5,37.5,73.5,37.5,71.5,38.5,73.5,37.5,74.5,37.5,63.5,36.5,73.5,37.5,63.5,36.5,73.5,37.5,63.5,36.5,73.5,37.5,63.5,36.5,74.5,37.5,63.5,36.5,74.5,37.5
1,Albania,19.5,41.5,19.5,42.5,19.5,41.5,19.5,42.5,20.5,42.5,19.5,42.5,19.5,40.5,19.5,42.5,19.5,41.5,19.5,42.5,20.5,41.5,19.5,42.5,19.5,41.5,19.5,42.5,19.5,41.5,19.5,42.5,20.5,41.5,19.5,42.5
2,Algeria,3.5,33.5,2.5,34.5,3.5,35.5,5.5,33.5,3.5,35.5,5.5,33.5,3.5,35.5,3.5,33.5,3.5,35.5,7.5,33.5,3.5,35.5,7.5,33.5,1.5,36.5,-2.5,35.5,3.5,35.5,7.5,33.5,3.5,35.5,5.5,33.5
3,Angola,13.5,-4.5,12.5,-4.5,13.5,-4.5,12.5,-4.5,13.5,-4.5,12.5,-4.5,13.5,-5.5,13.5,-4.5,13.5,-5.5,13.5,-4.5,12.5,-6.5,13.5,-5.5,12.5,-6.5,13.5,-5.5,12.5,-6.5,22.5,-9.5,12.5,-6.5,21.5,-7.5
4,Argentina,-65.5,-21.5,-64.5,-22.5,-65.5,-21.5,-63.5,-21.5,-65.5,-21.5,-66.5,-24.5,-66.5,-22.5,-65.5,-21.5,-66.5,-22.5,-65.5,-21.5,-66.5,-22.5,-65.5,-22.5,-66.5,-22.5,-62.5,-21.5,-66.5,-22.5,-62.5,-22.5,-66.5,-22.5,-62.5,-22.5
5,Armenia,46.5,38.5,46.5,39.5,46.5,38.5,46.5,39.5,46.5,38.5,46.5,39.5,46.5,38.5,46.5,39.5,46.5,38.5,46.5,39.5,44.5,40.5,46.5,39.5,44.5,40.5,46.5,39.5,44.5,39.5,46.5,39.5,44.5,40.5,46.5,39.5
6,Aruba,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5,-70.5,12.5
7,Australia,141.5,-12.5,136.5,-33.5,141.5,-12.5,148.5,-29.5,141.5,-12.5,147.5,-22.5,141.5,-12.5,149.5,-23.5,141.5,-12.5,145.5,-20.5,141.5,-12.5,145.5,-20.5,141.5,-12.5,145.5,-20.5,141.5,-12.5,145.5,-20.5,141.5,-12.5,145.5,-20.5
8,Austria,14.5,47.5,14.5,49.5,14.5,47.5,10.5,47.5,14.5,47.5,10.5,47.5,14.5,47.5,10.5,47.5,14.5,47.5,9.5,47.5,14.5,47.5,15.5,47.5,14.5,47.5,15.5,47.5,14.5,47.5,14.5,49.5,14.5,47.5,15.5,47.5
9,Azerbaijan,50.5,40.5,49.5,39.5,47.5,40.5,50.5,40.5,47.5,40.5,49.5,39.5,47.5,40.5,49.5,39.5,47.5,40.5,50.5,40.5,47.5,40.5,50.5,40.5,47.5,40.5,50.5,40.5,47.5,40.5,50.5,40.5,47.5,40.5,50.5,40.5
10,Bahrain,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5,50.5,26.5
11,Bangladesh,92.5,20.5,91.5,21.5,90.5,24.5,92.5,20.5,90.5,24.5,92.5,20.5,90.5,24.5,92.5,20.5,89.5,24.5,92.5,20.5,89.5,24.5,92.5,20.5,89.5,24.5,92.5,20.5,89.5,24.5,92.5,20.5,89.5,24.5,92.5,20.5
12,Belarus,26.5,53.5,29.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5,24.5,52.5,28.5,51.5
13,Belgium,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5,3.5,51.5,4.5,51.5
14,Belize,-89.5,15.5,-88.5,16.5,-89.5,15.5,-88.5,16.5,-89.5,15.5,-88.5,16.5,-89.5,16.5,-88.5,16.5,-88.5,15.5,-88.5,16.5,-88.5,15.5,-88.5,16.5,-88.5,15.5,-88.5,16.5,-88.5,15.5,-88.5,16.5,-88.5,15.5,-88.5,16.5
15,Benin,1.5,10.5,1.5,7.5,1.5,10.5,1.5,7.5,1.5,10.5,1.5,7.5,1.5,8.5,2.5,12.5,1.5,7.5,2.5,12.5,1.5,7.5,1.5,8.5,1.5,7.5,1.5,8.5,1.5,7.5,1.5,8.5,1.5,7.5,1.5,8.5
16,Bolivia,-69.5,-11.5,-61.5,-15.5,-69.5,-11.5,-69.5,-14.5,-69.5,-11.5,-69.5,-14.5,-69.5,-11.5,-67.5,-14.5,-67.5,-11.5,-69.5,-11.5,-67.5,-11.5,-69.5,-11.5,-67.5,-11.5,-69.5,-11.5,-65.5,-12.5,-69.5,-11.5,-66.5,-12.5,-69.5,-11.5
17,Bosnia and Herzegovina,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5,17.5,44.5
18,Botswana,23.5,-18.5,23.5,-18.5,23.5,-18.5,23.5,-18.5,23.5,-18.5,23.5,-18.5,23.5,-18.5,25.5,-21.5,23.5,-18.5,24.5,-18.5,23.5,-18.5,24.5,-18.5,23.5,-18.5,24.5,-18.5,23.5,-18.5,24.5,-20.5,23.5,-18.5,21.5,-20.5
19,Brazil,-60.5,5.5,-46.5,-7.5,-60.5,5.5,-45.5,-6.5,-60.5,5.5,-36.5,-5.5,-60.5,5.5,-47.5,-2.5,-60.5,5.5,-61.5,3.5,-60.5,5.5,-61.5,3.5,-60.5,5.5,-61.5,3.5,-60.5,5.5,-61.5,3.5,-60.5,5.5,-51.5,4.5
20,Brunei Darussalam,115.5,5.5,115.5,5.5,115.5,5.5,115.5,5.5,115.5,5.5,115.5,5.5,115.5,5.5,114.5,4.5,114.5,4.5,115.5,5.5,114.5,4.5,115.5,4.5,114.5,4.5,115.5,4.5,114.5,4.5,115.5,5.5,115.5,5.5,115.5,4.5
21,Bulgaria,27.5,41.5,23.5,42.5,24.5,42.5,23.5,42.5,25.5,42.5,23.5,42.5,27.5,41.5,23.5,42.5,27.5,41.5,23.5,42.5,27.5,41.5,23.5,42.5,27.5,41.5,23.5,42.5,27.5,41.5,23.5,42.5,27.5,41.5,23.5,42.5
22,Burkina Faso,-0.5,13.5,-1.5,12.5,-0.5,13.5,-1.5,12.5,-0.5,13.5,-1.5,12.5,0.5,12.5,-1.5,12.5,0.5,12.5,-1.5,12.5,0.5,12.5,-3.5,12.5,0.5,12.5,-3.5,12.5,0.5,12.5,-3.5,12.5,0.5,12.5,-3.5,12.5
23,Burma,96.5,26.5,96.5,25.5,96.5,26.5,97.5,22.5,96.5,26.5,97.5,22.5,97.5,26.5,96.5,26.5,97.5,26.5,97.5,18.5,95.5,20.5,97.5,26.5,95.5,20.5,97.5,26.5,95.5,20.5,97.5,26.5,95.5,21.5,97.5,26.5
24,Burundi,30.5,-4.5,29.5,-4.5,30.5,-2.5,30.5,-4.5,30.5,-2.5,30.5,-4.5,30.5,-2.5,30.5,-4.5,29.5,-2.5,30.5,-4.5,29.5,-2.5,30.5,-4.5,29.5,-2.5,30.5,-4.5,29.5,-2.5,28.5,-2.5,29.5,-2.5,30.5,-4.5
25,Cambodia,107.5,12.5,107.5,13.5,102.5,11.5,107.5,12.5,102.5,11.5,107.5,12.5,102.5,11.5,103.5,11.5,103.5,12.5,102.5,11.5,103.5,14.5,102.5,11.5,104.5,14.5,102.5,11.5,104.5,14.5,102.5,11.5,103.5,14.5,102.5,11.5
26,Cameroon,14.5,13.5,9.5,6.5,14.5,13.5,14.5,8.5,14.5,13.5,14.5,8.5,14.5,13.5,14.5,8.5,15.5,9.5,14.5,13.5,12.5,6.5,12.5,5.5,14.5,3.5,12.5,6.5,14.5,6.5,14.5,13.5,13.5,6.5,13.5,5.5
27,Canada,-122.5,59.5,-96.5,50.5,-122.5,59.5,-108.5,52.5,-122.5,59.5,-95.5,50.5,-122.5,59.5,-119.5,51.5,-122.5,59.5,-119.5,51.5,-122.5,59.5,-119.5,51.5,-122.5,59.5,-119.5,51.5,-122.5,59.5,-119.5,51.5,-122.5,59.5,-119.5,51.5
28,Central African Republic,19.5,9.5,22.5,10.5,19.5,9.5,22.5,10.5,19.5,9.5,22.5,10.5,21.5,10.5,18.5,8.5,22.5,11.5,20.5,8.5,22.5,11.5,22.5,9.5,22.5,11.5,22.5,9.5,22.5,11.5,22.5,8.5,22.5,11.5,22.5,8.5
29,Chad,20.5,15.5,21.5,14.5,20.5,15.5,21.5,14.5,20.5,15.5,21.5,14.5,21.5,15.5,20.5,15.5,13.5,14.5,20.5,15.5,13.5,14.5,21.5,15.5,13.5,14.5,21.5,15.5,20.5,15.5,13.5,14.5,21.5,13.5,13.5,14.5
30,Chile,-69.5,-17.5,-71.5,-32.5,-69.5,-17.5,-71.5,-32.5,-69.5,-17.5,-70.5,-18.5,-70.5,-19.5,-69.5,-17.5,-70.5,-19.5,-70.5,-18.5,-70.5,-19.5,-70.5,-18.5,-70.5,-19.5,-69.5,-18.5,-70.5,-19.5,-69.5,-18.5,-70.5,-19.5,-69.5,-18.5
31,China,122.5,52.5,123.5,50.5,122.5,52.5,123.5,50.5,122.5,52.5,123.5,50.5,122.5,52.5,121.5,50.5,122.5,52.5,121.5,50.5,122.5,52.5,124.5,51.5,122.5,52.5,121.5,50.5,122.5,52.5,123.5,50.5,89.5,48.5,122.5,52.5
32,Colombia,-72.5,12.5,-72.5,11.5,-72.5,12.5,-72.5,11.5,-72.5,12.5,-74.5,11.5,-72.5,12.5,-69.5,6.5,-72.5,12.5,-69.5,6.5,-72.5,12.5,-69.5,6.5,-72.5,12.5,-69.5,6.5,-72.5,12.5,-67.5,6.5,-72.5,12.5,-67.5,6.5
33,Congo,16.5,3.5,16.5,3.5,16.5,3.5,12.5,-2.5,16.5,3.5,12.5,-2.5,16.5,3.5,15.5,-0.5,16.5,3.5,16.5,1.5,16.5,3.5,14.5,0.5,16.5,3.5,16.5,1.5,16.5,3.5,12.5,-2.5,16.5,3.5,11.5,-3.5
34,Costa Rica,-82.5,9.5,-84.5,11.5,-82.5,9.5,-84.5,11.5,-82.5,9.5,-84.5,11.5,-82.5,8.5,-83.5,10.5,-82.5,8.5,-82.5,9.5,-85.5,10.5,-82.5,9.5,-82.5,8.5,-82.5,9.5,-85.5,10.5,-82.5,9.5,-85.5,10.5,-82.5,9.5
35,Cote d'Ivoire,-8.5,10.5,-7.5,10.5,-8.5,10.5,-7.5,10.5,-8.5,10.5,-7.5,10.5,-8.5,10.5,-8.5,8.5,-6.5,10.5,-6.5,8.5,-6.5,10.5,-4.5,8.5,-6.5,10.5,-4.5,8.5,-8.5,10.5,-4.5,8.5,-8.5,10.5,-4.5,8.5
36,Croatia,19.5,44.5,13.5,44.5,19.5,44.5,16.5,42.5,19.5,44.5,14.5,45.5,19.5,44.5,14.5,45.5,19.5,44.5,14.5,45.5,19.5,44.5,13.5,44.5,19.5,44.5,13.5,44.5,19.5,44.5,13.5,44.5,19.5,44.5,13.5,44.5
37,Cuba,-83.5,21.5,-81.5,23.5,-83.5,21.5,-82.5,21.5,-83.5,21.5,-82.5,21.5,-83.5,21.5,-82.5,21.5,-76.5,21.5,-83.5,21.5,-77.5,21.5,-83.5,21.5,-76.5,21.5,-83.5,21.5,-77.5,21.5,-83.5,21.5,-77.5,21.5,-83.5,21.5
38,Cyprus,34.5,35.5,33.5,35.5,34.5,35.5,33.5,35.5,33.5,34.5,34.5,35.5,33.5,34.5,34.5,35.5,33.5,34.5,34.5,35.5,34.5,35.5,33.5,35.5,34.5,35.5,33.5,35.5,34.5,35.5,33.5,35.5,34.5,35.5,33.5,35.5
39,Czech Republic,16.5,49.5,18.5,50.5,16.5,49.5,16.5,50.5,16.5,49.5,16.5,50.5,16.5,49.5,16.5,50.5,17.5,50.5,18.5,50.5,16.5,49.5,18.5,50.5,17.5,50.5,18.5,50.5,16.5,49.5,18.5,50.5,16.5,49.5,18.5,50.5
40,Democratic Republic of the Congo,19.5,5.5,23.5,1.5,19.5,5.5,23.5,1.5,19.5,5.5,23.5,1.5,19.5,5.5,18.5,4.5,24.5,5.5,19.5,5.5,19.5,5.5,19.5,4.5,24.5,5.5,19.5,3.5,24.5,5.5,23.5,4.5,24.5,5.5,23.5,4.5
41,Denmark,12.5,56.5,15.5,54.5,14.5,55.5,15.5,54.5,14.5,55.5,15.5,54.5,14.5,55.5,15.5,54.5,12.5,56.5,15.5,54.5,10.5,57.5,15.5,54.5,10.5,57.5,11.5,57.5,10.5,57.5,15.5,54.5,10.5,57.5,15.5,54.5
42,Djibouti,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5,43.5,11.5
43,Dominican Republic,-71.5,17.5,-71.5,18.5,-70.5,19.5,-71.5,17.5,-68.5,18.5,-71.5,17.5,-68.5,18.5,-71.5,17.5,-68.5,18.5,-71.5,17.5,-72.5,18.5,-71.5,17.5,-68.5,18.5,-71.5,17.5,-72.5,18.5,-71.5,17.5,-72.5,18.5,-71.5,17.5
44,Ecuador,-79.5,1.5,-80.5,-0.5,-79.5,1.5,-79.5,-0.5,-79.5,1.5,-78.5,1.5,-76.5,0.5,-77.5,-0.5,-76.5,0.5,-77.5,-1.5,-75.5,0.5,-77.5,-2.5,-75.5,0.5,-77.5,-2.5,-75.5,0.5,-77.5,-2.5,-75.5,0.5,-77.5,-2.5
45,Egypt,34.5,29.5,27.5,27.5,34.5,29.5,30.5,25.5,34.5,29.5,30.5,25.5,34.5,29.5,30.5,25.5,34.5,29.5,28.5,27.5,30.5,30.5,28.5,27.5,30.5,30.5,30.5,25.5,30.5,30.5,28.5,27.5,34.5,29.5,28.5,27.5
46,El Salvador,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5,-89.5,13.5
47,Equatorial Guinea,8.5,3.5,8.5,3.5,8.5,3.5,8.5,3.5,8.5,3.5,8.5,3.5,8.5,3.5,8.5,3.5,8.5,3.5,9.5,2.5,8.5,3.5,9.5,2.5,8.5,3.5,9.5,2.5,8.5,3.5,9.5,2.5,8.5,3.5,9.5,2.5
48,Eritrea,37.5,17.5,38.5,17.5,37.5,17.5,38.5,17.5,37.5,17.5,38.5,17.5,37.5,17.5,38.5,17.5,37.5,17.5,38.5,17.5,37.5,15.5,37.5,17.5,37.5,15.5,37.5,17.5,37.5,16.5,37.5,17.5,37.5,15.5,37.5,17.5
49,Estonia,21.5,58.5,23.5,58.5,25.5,59.5,21.5,58.5,25.5,59.5,21.5,58.5,25.5,59.5,21.5,58.5,25.5,59.5,21.5,58.5,25.5,59.5,21.5,58.5,25.5,59.5,21.5,58.5,25.5,59.5,21.5,58.5,25.5,59.5,21.5,58.5
50,Ethiopia,38.5,14.5,40.5,10.5,38.5,14.5,44.5,9.5,38.5,14.5,44.5,9.5,38.5,14.5,35.5,11.5,38.5,14.5,34.5,6.5,38.5,14.5,44.5,7.5,38.5,14.5,38.5,3.5,38.5,14.5,42.5,8.5,38.5,14.5,42.5,8.5
51,Finland,25.5,65.5,27.5,64.5,25.5,65.5,27.5,64.5,25.5,65.5,27.5,64.5,25.5,65.5,27.5,64.5,25.5,65.5,27.5,64.5,25.5,65.5,27.5,64.5,25.5,65.5,27.5,64.5,25.5,65.5,27.5,64.5,25.5,65.5,27.5,64.5
52,France,-2.5,48.5,8.5,42.5,-2.5,48.5,8.5,42.5,2.5,44.5,8.5,42.5,-2.5,48.5,8.5,42.5,-2.5,48.5,8.5,42.5,-2.5,48.5,8.5,42.5,-2.5,48.5,8.5,42.5,-2.5,48.5,8.5,42.5,-2.5,48.5,8.5,42.5
53,French Guiana,-52.5,5.5,-52.5,5.5,-52.5,5.5,-52.5,5.5,-52.5,5.5,-52.5,5.5,-52.5,5.5,-52.5,5.5,-52.5,5.5,-52.5,5.5,-52.5,5.5,-52.5,4.5,-52.5,5.5,-52.5,5.5,-52.5,5.5,-52.5,4.5,-52.5,5.5,-52.5,4.5
54,Gabon,11.5,2.5,11.5,-1.5,11.5,2.5,9.5,0.5,11.5,2.5,9.5,0.5,12.5,2.5,11.5,2.5,12.5,2.5,11.5,2.5,9.5,1.5,12.5,2.5,9.5,1.5,12.5,2.5,10.5,1.5,9.5,1.5,10.5,1.5,12.5,2.5
55,Gambia,-13.5,13.5,-16.5,13.5,-13.5,13.5,-16.5,13.5,-13.5,13.5,-16.5,13.5,-13.5,13.5,-16.5,13.5,-14.5,13.5,-16.5,13.5,-14.5,13.5,-16.5,13.5,-14.5,13.5,-16.5,13.5,-14.5,13.5,-16.5,13.5,-14.5,13.5,-16.5,13.5
56,Georgia,41.5,41.5,42.5,41.5,44.5,41.5,42.5,41.5,44.5,41.5,42.5,41.5,44.5,41.5,42.5,41.5,44.5,41.5,41.5,41.5,44.5,41.5,41.5,41.5,44.5,41.5,41.5,41.5,44.5,41.5,41.5,41.5,44.5,41.5,41.5,41.5
57,Germany,7.5,53.5,14.5,54.5,7.5,53.5,14.5,54.5,7.5,53.5,14.5,54.5,7.5,53.5,14.5,54.5,7.5,53.5,14.5,54.5,7.5,53.5,14.5,54.5,7.5,53.5,14.5,54.5,7.5,53.5,14.5,54.5,7.5,53.5,14.5,54.5
58,Ghana,-2.5,11.5,-1.5,9.5,-1.5,8.5,-1.5,9.5,-1.5,8.5,-1.5,9.5,-1.5,8.5,-0.5,8.5,0.5,11.5,-1.5,8.5,0.5,11.5,-1.5,8.5,0.5,11.5,0.5,8.5,0.5,11.5,-1.5,8.5,0.5,11.5,-1.5,8.5
59,Gibraltar,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5,-5.5,36.5
60,Greece,24.5,41.5,23.5,39.5,21.5,41.5,23.5,39.5,21.5,41.5,23.5,39.5,21.5,41.5,23.5,39.5,24.5,41.5,23.5,39.5,23.5,39.5,25.5,38.5,23.5,39.5,25.5,38.5,23.5,39.5,25.5,38.5,23.5,39.5,25.5,38.5
61,Guatemala,-90.5,14.5,-90.5,15.5,-90.5,14.5,-90.5,15.5,-90.5,14.5,-90.5,15.5,-90.5,14.5,-90.5,15.5,-90.5,14.5,-90.5,15.5,-90.5,14.5,-91.5,14.5,-91.5,14.5,-90.5,15.5,-91.5,14.5,-90.5,15.5,-90.5,14.5,-90.5,15.5
62,Guinea,-13.5,12.5,-11.5,11.5,-12.5,12.5,-13.5,12.5,-12.5,12.5,-9.5,12.5,-12.5,12.5,-10.5,12.5,-11.5,12.5,-9.5,10.5,-9.5,9.5,-9.5,10.5,-9.5,9.5,-14.5,11.5,-9.5,12.5,-9.5,10.5,-9.5,12.5,-9.5,10.5
63,Guinea-Bissau,-16.5,12.5,-16.5,12.5,-14.5,12.5,-16.5,12.5,-14.5,12.5,-16.5,12.5,-14.5,12.5,-15.5,11.5,-14.5,12.5,-16.5,12.5,-14.5,12.5,-16.5,12.5,-14.5,12.5,-16.5,12.5,-14.5,12.5,-16.5,12.5,-14.5,12.5,-16.5,12.5
64,Guyana,-59.5,8.5,-58.5,6.5,-59.5,8.5,-58.5,6.5,-59.5,8.5,-58.5,6.5,-59.5,8.5,-57.5,5.5,-59.5,8.5,-58.5,5.5,-59.5,8.5,-58.5,5.5,-59.5,8.5,-58.5,5.5,-59.5,8.5,-61.5,5.5,-59.5,8.5,-58.5,5.5
65,Haiti,-73.5,18.5,-72.5,20.5,-73.5,18.5,-72.5,20.5,-73.5,18.5,-73.5,19.5,-72.5,20.5,-74.5,18.5,-73.5,19.5,-74.5,18.5,-73.5,19.5,-74.5,18.5,-73.5,19.5,-74.5,18.5,-73.5,19.5,-74.5,18.5,-73.5,19.5,-74.5,18.5
66,Honduras,-88.5,13.5,-86.5,15.5,-88.5,13.5,-86.5,15.5,-88.5,13.5,-86.5,15.5,-88.5,13.5,-84.5,15.5,-88.5,13.5,-84.5,15.5,-88.5,13.5,-84.5,15.5,-88.5,13.5,-84.5,15.5,-88.5,13.5,-84.5,15.5,-88.5,13.5,-84.5,15.5
67,Hungary,22.5,47.5,19.5,48.5,22.5,47.5,22.5,48.5,22.5,47.5,22.5,48.5,22.5,47.5,19.5,48.5,22.5,47.5,19.5,48.5,22.5,48.5,19.5,48.5,20.5,46.5,19.5,48.5,20.5,46.5,19.5,48.5,22.5,47.5,19.5,48.5
68,India,77.5,35.5,76.5,32.5,77.5,35.5,76.5,32.5,77.5,35.5,76.5,32.5,77.5,35.5,76.5,34.5,77.5,35.5,77.5,33.5,77.5,35.5,77.5,33.5,77.5,35.5,76.5,34.5,77.5,35.5,81.5,30.5,77.5,35.5,77.5,33.5
69,Indonesia,108.5,4.5,95.5,4.5,108.5,2.5,126.5,4.5,108.5,2.5,126.5,4.5,108.5,2.5,126.5,4.5,108.5,2.5,126.5,4.5,108.5,2.5,126.5,4.5,108.5,2.5,126.5,4.5,127.5,2.5,105.5,2.5,127.5,2.5,126.5,4.5
70,Iran (Islamic Republic of),47.5,38.5,53.5,35.5,47.5,38.5,53.5,35.5,47.5,38.5,53.5,35.5,47.5,38.5,54.5,35.5,47.5,38.5,55.5,32.5,47.5,38.5,55.5,32.5,47.5,38.5,56.5,35.5,55.5,38.5,56.5,35.5,47.5,38.5,55.5,32.5
71,Iraq,41.5,36.5,41.5,34.5,42.5,36.5,47.5,30.5,42.5,36.5,47.5,30.5,42.5,36.5,47.5,30.5,42.5,36.5,43.5,37.5,42.5,36.5,43.5,37.5,41.5,36.5,43.5,37.5,41.5,36.5,43.5,37.5,42.5,36.5,43.5,37.5
72,Ireland,-8.5,55.5,-8.5,52.5,-8.5,55.5,-7.5,54.5,-8.5,55.5,-7.5,54.5,-8.5,55.5,-7.5,54.5,-8.5,55.5,-7.5,54.5,-8.5,55.5,-7.5,55.5,-8.5,55.5,-7.5,55.5,-8.5,55.5,-7.5,55.5,-8.5,55.5,-7.5,55.5
73,Isle of Man,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5,-4.5,54.5
74,Israel,35.5,30.5,34.5,32.5,35.5,31.5,35.5,29.5,35.5,31.5,35.5,29.5,35.5,31.5,35.5,29.5,35.5,31.5,35.5,29.5,35.5,31.5,35.5,29.5,35.5,29.5,34.5,32.5,35.5,29.5,34.5,32.5,35.5,31.5,35.5,29.5
75,Italy,11.5,36.5,8.5,43.5,11.5,36.5,7.5,43.5,11.5,36.5,7.5,43.5,11.5,36.5,7.5,43.5,11.5,36.5,8.5,43.5,11.5,36.5,8.5,43.5,11.5,36.5,8.5,43.5,11.5,36.5,7.5,43.5,11.5,36.5,10.5,46.5
76,Jamaica,-77.5,17.5,-78.5,18.5,-77.5,17.5,-78.5,18.5,-77.5,17.5,-78.5,18.5,-77.5,17.5,-76.5,18.5,-78.5,18.5,-76.5,18.5,-78.5,18.5,-76.5,18.5,-78.5,18.5,-76.5,18.5,-78.5,18.5,-76.5,18.5,-78.5,18.5,-76.5,18.5
77,Japan,139.5,40.5,141.5,44.5,139.5,40.5,141.5,44.5,139.5,40.5,141.5,44.5,141.5,43.5,139.5,40.5,139.5,38.5,141.5,44.5,141.5,43.5,141.5,44.5,139.5,40.5,141.5,44.5,139.5,40.5,141.5,44.5,139.5,38.5,141.5,44.5
78,Jordan,37.5,31.5,38.5,30.5,37.5,31.5,36.5,29.5,36.5,31.5,36.5,29.5,36.5,31.5,36.5,29.5,36.5,31.5,36.5,29.5,36.5,31.5,36.5,29.5,36.5,31.5,36.5,29.5,36.5,31.5,36.5,29.5,36.5,31.5,36.5,29.5
79,Kazakhstan,73.5,52.5,72.5,52.5,74.5,52.5,72.5,52.5,75.5,51.5,73.5,52.5,74.5,51.5,62.5,50.5,65.5,51.5,56.5,49.5,65.5,52.5,67.5,49.5,72.5,52.5,67.5,49.5,72.5,52.5,67.5,49.5,65.5,52.5,67.5,49.5
