,name,date,AFG,ALB,DZA,AGO,ARG,ARM,ABW,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BLZ,BEN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,MMR,BDI,KHM,CMR,CAN,CAF,TCD,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CYP,CZE,COD,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FIN,FRA,GUF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GTM,GIN,GNB,GUY,HTI,HND,HUN,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,PRK,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MEX,MNG,MNE,MAR,MOZ,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,MDA,ROU,RUS,RWA,SAU,SEN,SRB,SLE,SVK,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,SYR,TWN,TJK,THA,MKD,TLS,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,WLD
2,Unmet Need,1,48.59,68.02,57.9,47.94,30.64,85.58,50.0,49.29,84.0,90.65,50.0,87.37,39.64,82.58,6.89,77.09,42.78,37.18,50.0,39.85,50.0,25.3,98.27,40.37,43.95,49.76,48.52,44.5,54.36,48.15,47.38,64.19,49.54,47.92,6.18,46.06,26.86,3.92,41.26,46.92,39.27,72.22,50.0,23.36,38.77,58.8,29.7,50.0,48.41,20.43,66.28,16.04,73.6,50.0,47.62,97.55,85.6,60.7,53.81,89.99,46.06,7.45,48.74,60.0,35.71,3.51,7.35,46.86,52.1,17.21,56.12,57.18,81.94,87.95,66.73,59.56,0.66,33.05,51.9,45.27,59.94,31.19,32.81,91.81,68.91,43.51,5.44,69.13,62.44,16.02,40.06,37.72,41.63,57.14,36.87,63.17,81.23,45.67,40.63,51.14,47.75,74.0,50.61,50.0,29.2,84.46,50.0,21.5,52.81,58.85,37.97,20.45,57.52,19.71,17.7,40.81,46.91,44.75,59.18,74.12,19.68,38.82,61.89,40.68,92.34,32.82,82.64,60.64,14.4,34.25,50.0,50.05,39.59,65.59,19.0,52.88,50.0,73.76,52.85,85.38,34.17,99.27,41.34,43.69,8.6,33.33,79.7,41.86,84.87,54.79,31.27,66.66,73.6,63.64,39.62,41.46,89.65,43.55,31.12,52.03,46.28,85.26,49.781975308642
3,Unmet Need,2,50.08,82.93,76.34,48.62,40.05,90.92,50.0,58.77,87.95,91.2,0.0,89.18,57.99,85.4,7.85,77.58,37.52,93.63,50.0,38.3,50.0,40.64,98.65,44.97,38.44,52.72,47.48,45.65,54.82,52.15,44.36,63.36,52.07,45.83,2.42,46.51,42.17,6.95,56.47,76.01,37.53,74.48,50.0,23.19,34.89,61.78,39.0,50.0,47.34,33.64,69.8,23.83,78.28,50.0,45.24,98.56,93.66,64.3,54.06,91.99,52.3,8.87,47.38,39.99,35.71,5.59,9.06,66.43,53.54,13.19,63.71,64.3,81.99,84.96,60.67,64.41,1.08,35.48,52.47,49.32,59.48,28.84,29.26,98.16,72.46,34.17,18.78,83.71,84.5,13.7,47.73,62.43,36.1,58.27,34.31,64.52,82.79,48.87,41.09,50.45,69.38,85.08,50.41,48.33,57.11,85.44,50.0,17.98,56.34,59.36,48.74,18.39,57.86,21.11,10.13,40.82,38.27,33.38,69.23,79.94,22.66,48.34,77.1,47.46,94.2,32.07,83.08,86.41,14.54,65.07,0.0,54.12,38.2,73.84,20.42,54.12,50.0,82.5,64.65,91.42,33.43,99.35,47.65,71.91,9.45,33.34,87.24,43.22,86.89,56.28,45.97,66.67,76.25,65.18,52.14,78.56,90.69,38.44,39.69,58.26,44.82,86.97,53.37975308641975
4,Unmet Need,3,50.02,84.13,78.14,47.92,46.43,91.57,50.0,65.33,88.2,96.23,0.0,87.63,61.04,85.82,8.67,77.73,34.27,96.58,50.0,38.56,50.0,49.72,98.75,43.81,38.94,51.42,45.86,45.89,54.82,52.98,40.98,65.05,55.31,45.83,2.73,46.61,44.8,9.67,50.58,77.25,35.63,74.83,50.0,26.38,30.96,62.74,42.75,50.0,47.19,38.06,70.41,28.37,78.92,50.0,45.24,98.64,94.08,64.71,54.63,92.08,54.0,9.07,48.32,39.99,32.14,6.56,9.88,69.07,53.79,15.12,65.27,66.49,82.13,84.98,60.59,66.61,1.08,36.03,55.52,51.49,60.96,28.37,28.98,99.33,74.64,29.87,24.89,86.81,90.44,7.82,51.4,68.56,37.84,58.0,32.44,64.66,83.19,49.8,42.77,50.46,68.68,87.32,49.79,48.33,60.62,85.94,50.0,18.3,59.52,59.67,54.31,18.39,60.08,21.67,7.94,46.16,30.34,32.49,71.15,82.96,24.51,55.2,79.54,53.52,94.4,32.26,83.2,90.47,14.56,68.55,0.0,55.73,43.49,76.0,21.98,55.16,41.67,86.98,68.09,91.55,36.08,99.39,46.35,77.69,11.01,33.34,88.48,43.37,89.14,54.12,52.86,66.67,76.98,63.91,55.66,86.41,90.63,36.38,44.36,58.83,44.34,88.68,54.44104938271603
5,Unmet Need,4,48.31,82.03,81.15,49.11,58.5,91.49,50.0,75.28,88.48,96.3,0.0,89.0,62.5,87.0,22.12,95.24,27.67,94.84,50.0,34.2,33.33,52.44,98.84,39.32,48.72,50.65,45.24,51.9,54.55,54.08,39.77,65.75,61.89,33.79,12.58,48.27,43.16,27.31,49.82,77.53,25.63,75.43,50.0,48.44,47.84,68.14,57.52,50.0,48.31,37.56,67.91,30.12,79.4,0.0,35.75,98.15,91.74,65.46,55.29,92.1,56.02,16.01,58.25,31.85,32.74,58.91,20.28,67.49,57.21,21.69,72.42,76.74,82.19,84.98,67.06,67.33,5.37,41.65,65.55,61.29,64.44,33.74,33.81,100.0,84.11,30.74,28.64,96.83,98.08,7.62,46.56,70.99,40.01,61.32,22.78,80.5,83.55,56.07,49.43,50.79,65.93,87.72,53.08,50.62,88.89,86.33,58.55,17.36,60.08,69.94,55.42,17.84,63.11,18.57,6.43,50.61,18.34,27.02,72.2,83.63,33.32,61.58,79.64,52.59,95.3,28.19,83.46,88.06,14.44,68.16,0.0,73.7,77.46,77.53,28.74,58.73,33.33,95.84,69.2,93.48,38.72,99.25,49.09,73.24,22.2,19.0,89.87,49.86,91.43,59.09,57.6,49.99,77.32,73.63,68.76,86.6,99.59,54.01,49.61,61.39,43.53,80.96,57.04413580246912
6,Unmet Need,5,54.04,75.95,90.91,50.14,67.28,91.02,50.0,84.37,86.15,91.56,19.02,93.43,70.52,84.66,35.07,95.42,38.5,85.19,43.09,43.58,0.03,54.17,98.75,44.31,65.15,54.67,45.5,56.96,58.35,53.01,46.2,75.88,64.21,15.13,34.96,68.3,39.63,69.65,45.43,77.06,13.65,75.21,50.0,67.08,60.62,74.72,74.26,0.0,65.79,29.64,71.62,19.22,74.02,0.0,15.1,95.74,91.33,64.47,67.14,89.8,48.59,23.38,88.02,62.74,20.72,93.26,35.82,63.92,64.44,24.33,82.83,86.41,82.94,84.94,70.04,59.68,45.41,28.16,68.97,84.16,73.6,33.12,24.57,100.0,98.46,29.72,24.13,98.64,97.61,27.5,48.42,68.55,54.41,68.58,11.04,83.27,81.42,80.93,62.63,51.14,58.34,89.05,59.18,64.37,97.75,88.32,87.12,38.66,62.95,83.83,39.03,56.56,68.73,43.45,6.84,57.58,35.94,20.08,73.93,73.97,63.9,72.02,78.69,47.3,95.48,38.87,95.31,82.69,32.55,61.65,0.0,77.09,87.77,65.4,51.24,63.97,16.67,95.08,53.25,94.58,76.67,99.04,53.2,61.64,30.33,2.88,95.85,58.48,91.79,63.73,68.0,33.26,75.45,80.87,68.41,86.79,99.61,64.27,56.22,58.69,45.45,82.41,61.02092592592596
7,Unmet Need,6,54.95,66.72,91.27,47.93,71.94,92.4,50.0,85.67,77.27,87.49,90.06,96.72,67.46,88.56,45.34,97.4,52.45,28.56,40.93,48.5,3.38,38.61,98.62,55.22,76.82,65.55,53.36,53.52,60.86,58.78,46.62,80.25,69.24,15.22,41.75,75.14,25.86,76.22,43.47,70.99,13.83,66.17,50.0,72.99,67.49,79.64,79.62,0.0,68.42,15.72,73.55,16.41,67.82,0.53,9.34,95.1,93.84,60.13,70.92,76.83,38.52,36.33,95.2,76.34,20.82,96.08,43.66,58.53,65.68,32.26,89.8,88.63,75.69,87.97,71.32,51.03,56.79,19.62,69.58,89.06,78.19,31.68,23.67,100.0,98.66,40.39,14.15,98.8,97.58,38.71,52.7,52.06,65.76,73.86,14.43,83.57,64.78,87.1,66.51,51.14,39.66,88.99,62.37,75.58,97.76,87.81,87.18,45.61,65.19,89.33,32.41,74.82,68.44,52.18,7.4,59.29,44.98,25.55,67.9,59.08,77.04,66.85,66.85,47.05,96.0,51.19,93.66,62.28,62.04,54.51,0.46,82.39,86.37,51.46,54.31,72.88,16.74,95.44,44.47,95.52,88.33,99.04,67.65,43.1,54.12,3.57,96.53,61.12,91.8,68.15,62.35,61.91,70.54,83.64,66.11,90.71,99.61,70.24,72.35,73.06,49.79,83.3,62.54419753086419
8,Unmet Need,7,53.82,63.66,98.94,36.11,68.14,91.59,50.0,86.25,67.65,84.57,50.0,95.49,61.8,84.74,31.8,97.38,40.33,20.97,39.45,47.45,2.1,36.36,98.61,54.87,76.57,64.43,47.81,50.01,69.66,56.29,45.38,76.25,64.95,16.72,29.12,75.74,24.27,61.9,41.99,64.07,13.06,59.67,50.0,65.56,62.23,96.35,74.21,0.35,69.03,13.67,76.2,20.41,58.7,0.0,8.61,95.06,92.57,54.59,72.84,69.71,36.16,19.79,95.01,74.16,20.84,90.01,28.78,48.92,65.11,27.32,96.9,93.42,73.44,88.47,95.84,44.29,33.5,20.29,88.68,87.69,79.2,29.14,22.18,100.0,98.1,39.38,14.22,98.78,97.72,40.08,98.53,46.83,74.06,73.79,12.71,83.6,59.18,85.15,60.95,51.14,23.66,90.59,56.26,73.89,97.59,85.67,87.98,32.05,64.05,88.72,25.76,91.04,70.45,33.63,6.54,58.75,39.16,25.56,62.82,47.41,70.03,60.15,58.74,44.14,96.37,80.11,93.64,56.4,59.13,26.95,0.0,82.33,86.42,46.24,47.54,78.78,16.75,95.6,43.19,95.43,75.59,99.18,69.69,34.75,28.13,4.19,99.31,56.11,91.98,69.35,56.43,75.3,65.87,80.4,62.77,90.85,99.61,64.97,70.01,85.5,44.75,83.91,60.38018518518521
9,Unmet Need,8,63.3,64.0,98.45,93.48,73.87,92.71,50.0,86.82,75.53,84.48,100.0,96.69,62.98,86.99,50.12,97.55,55.97,21.51,55.82,52.85,3.7,40.51,98.5,57.63,92.69,65.54,86.28,57.12,88.15,81.08,49.71,75.88,69.04,46.91,39.9,83.45,23.83,74.17,42.09,47.17,26.24,65.85,50.0,72.13,70.05,95.26,78.67,30.24,84.92,14.04,89.28,20.21,67.87,1.3,13.94,94.92,88.85,60.02,85.55,79.57,40.18,42.95,96.91,92.63,9.66,95.16,47.68,47.1,95.7,36.17,98.02,93.57,75.41,88.89,95.54,50.15,54.87,17.73,88.67,88.36,86.27,34.36,24.97,100.0,98.51,40.75,14.39,98.96,97.52,58.81,93.32,47.04,96.19,94.78,18.19,89.48,68.48,96.44,66.61,51.14,24.71,90.15,87.17,88.94,97.82,87.35,87.98,46.94,90.99,95.15,32.04,98.62,82.89,48.32,7.27,57.27,55.31,28.22,56.93,61.04,77.88,61.8,59.28,43.13,97.18,93.06,92.96,56.87,81.0,27.94,0.51,93.96,92.22,52.5,64.67,89.37,8.6,95.82,47.3,96.49,74.56,99.18,70.69,35.32,57.64,4.08,99.14,64.64,91.98,79.64,56.84,97.48,71.58,89.84,70.09,91.42,99.61,72.65,72.37,88.67,78.65,87.47,67.39586419753083
10,Unmet Need,9,59.0,68.37,92.19,55.24,73.03,92.52,50.0,85.13,81.39,89.3,50.0,94.72,68.17,86.79,38.19,97.57,54.85,34.86,37.64,51.4,9.98,39.87,98.55,53.95,84.25,62.67,72.92,54.26,79.46,78.83,48.74,79.62,69.15,36.83,41.38,81.12,28.29,76.01,47.2,73.02,20.79,67.1,50.0,72.87,70.3,84.09,80.22,12.94,71.49,20.07,80.37,25.4,72.57,1.14,7.78,94.93,93.91,62.29,80.76,78.6,41.15,27.55,96.08,88.31,21.32,95.6,43.51,67.26,78.03,30.46,93.72,90.23,77.35,89.12,82.99,58.14,56.81,24.51,74.97,89.16,84.05,33.16,24.34,100.0,98.62,37.37,17.74,98.8,97.76,52.8,62.04,57.47,85.13,81.86,19.95,88.05,67.53,92.73,65.76,50.66,47.64,89.13,68.68,85.7,97.72,88.04,86.3,45.51,79.3,94.99,34.36,82.42,76.92,50.65,7.35,57.22,50.21,29.19,69.97,62.12,77.71,67.61,68.96,47.21,96.46,73.11,92.95,64.91,75.9,55.7,0.51,85.93,88.74,54.55,61.69,83.78,16.85,95.44,50.29,95.91,84.53,99.09,71.56,45.58,36.01,4.08,97.6,62.3,92.31,79.19,63.42,53.28,71.88,86.08,67.61,91.05,99.62,71.27,65.41,76.72,61.5,86.01,65.36975308641979
2,Pollination Contribution,1,9.47,41.63,19.69,31.65,43.68,12.99,50.0,26.19,20.7,0.44,50.0,3.39,43.16,17.56,93.84,6.24,77.03,62.82,50.0,85.54,50.0,52.98,2.98,32.55,18.76,39.25,39.7,38.3,4.91,38.43,94.14,13.01,65.15,100.02,96.46,50.89,43.04,96.45,67.77,53.61,64.44,27.81,50.0,69.6,99.45,10.0,70.29,50.0,78.91,82.85,3.39,69.74,16.08,50.0,100.15,4.49,2.88,35.97,14.95,10.0,35.02,92.47,74.07,0.0,100.0,93.79,79.34,46.7,32.47,56.45,7.92,7.15,8.89,12.05,9.89,24.9,98.12,56.53,52.7,11.25,14.43,49.68,44.87,8.18,2.13,51.14,83.16,1.34,40.34,77.95,20.18,54.06,53.09,49.8,87.52,15.05,18.77,25.88,43.16,52.89,35.79,6.11,47.53,50.0,65.05,10.8,50.0,89.36,3.26,22.52,66.7,98.35,13.56,80.65,91.77,91.93,100.0,57.65,33.26,18.0,77.83,53.96,37.79,20.9,8.39,53.51,9.33,35.2,92.54,61.59,50.0,39.09,54.29,25.01,81.89,10.9,50.0,0.85,25.02,16.52,41.97,1.19,40.54,37.8,91.4,100.0,2.77,43.97,2.63,28.99,53.41,0.02,13.9,13.62,37.51,99.59,0.74,66.35,45.96,5.52,96.93,0.04,43.27469135802471
3,Pollination Contribution,2,9.22,12.24,7.93,42.27,30.19,8.82,50.0,22.14,14.73,1.1,100.0,3.46,30.79,14.76,90.56,6.81,76.6,6.36,50.0,84.35,50.0,45.87,1.81,30.65,17.02,36.69,36.51,23.76,4.95,34.95,91.88,13.25,56.71,100.0,94.84,50.23,25.57,91.09,54.27,23.38,66.08,26.4,50.0,64.93,73.81,7.82,60.99,50.0,67.87,53.88,2.38,60.43,11.9,50.0,100.03,2.6,4.12,31.47,14.96,8.01,29.67,89.45,63.27,8.71,100.0,88.95,77.05,29.08,31.37,48.41,4.95,5.72,8.01,15.04,6.27,20.32,97.21,51.21,42.6,11.96,12.42,52.89,48.02,1.83,2.06,50.61,57.49,1.34,35.69,75.56,9.53,31.0,47.46,49.61,87.71,12.06,17.2,18.06,33.25,50.28,11.55,2.9,46.75,30.17,1.98,9.39,50.0,87.31,1.74,23.07,58.18,97.14,8.25,73.1,90.83,85.41,99.98,56.87,25.69,14.86,75.38,46.97,21.38,9.71,5.34,53.41,8.62,12.49,92.24,33.1,100.0,33.4,57.87,19.25,81.15,10.0,50.0,26.44,14.34,14.27,42.64,1.0,40.27,12.63,90.54,99.96,1.64,43.18,1.35,26.46,44.29,0.0,11.28,13.05,15.35,3.96,0.28,57.53,41.36,7.46,95.47,0.08,38.068333333333335
4,Pollination Contribution,3,9.85,11.48,6.3,45.61,21.84,8.45,50.0,18.86,14.22,1.22,100.0,3.67,28.92,14.35,88.91,7.0,75.69,3.41,50.0,83.26,50.0,42.29,1.5,29.6,16.71,35.64,34.72,23.12,5.02,34.05,87.0,12.49,44.47,100.0,94.74,49.79,23.29,87.79,50.7,22.12,66.81,26.11,50.0,62.6,66.63,7.49,57.24,50.0,63.22,49.53,2.22,55.78,11.37,50.0,100.02,2.42,4.1,31.0,15.04,7.92,28.1,89.1,60.39,11.61,99.99,87.51,75.2,27.02,31.36,40.98,4.75,5.52,7.76,15.01,6.04,19.2,97.21,51.32,38.61,10.35,11.9,52.62,48.48,0.67,1.96,50.23,47.01,1.42,9.44,74.53,8.26,26.15,46.42,49.49,87.18,10.86,16.81,16.66,30.23,50.41,17.19,2.97,46.8,0.0,1.27,8.87,50.0,86.17,1.74,23.21,53.16,97.14,6.92,69.66,89.34,90.01,99.4,56.55,24.95,14.18,73.54,42.95,20.06,7.63,5.08,52.58,8.5,8.74,92.23,30.11,100.0,31.19,46.16,17.37,80.38,9.8,101.06,17.93,12.42,13.92,41.05,0.95,39.32,10.69,88.98,99.96,1.7,43.08,1.3,26.1,40.17,0.0,10.69,12.99,13.27,1.64,0.34,56.03,40.43,7.35,95.19,0.11,36.776913580246905
5,Pollination Contribution,4,8.29,14.99,3.34,62.68,6.58,7.74,50.0,1.05,13.99,1.22,100.0,3.55,28.31,13.13,73.23,8.82,69.09,5.16,73.09,75.88,100.02,32.2,1.24,25.96,11.67,32.5,16.38,16.6,3.57,17.87,64.79,11.74,9.36,99.24,82.97,46.39,24.89,60.1,51.63,21.94,71.76,25.54,50.0,51.35,40.36,5.97,42.47,50.0,47.93,46.81,2.11,54.17,11.04,100.0,99.97,2.49,4.96,30.22,14.27,7.9,22.67,77.36,21.08,39.45,98.46,42.14,65.69,28.49,26.77,34.5,4.08,4.31,7.67,15.01,5.48,18.66,92.03,41.1,8.91,8.95,8.59,47.04,44.52,0.0,2.09,47.34,44.92,1.37,2.33,70.14,6.76,24.96,34.91,48.27,73.34,1.17,16.45,13.44,20.87,0.0,18.67,3.33,46.12,28.7,5.3,8.34,13.33,67.23,3.1,22.41,51.06,95.41,4.27,50.21,89.6,67.78,88.43,56.84,24.27,13.47,68.35,38.5,20.7,6.9,3.97,49.04,7.99,10.52,94.63,30.69,100.0,4.86,3.36,16.56,66.06,6.47,100.0,5.01,11.81,10.43,39.86,1.24,35.85,14.46,77.79,93.02,1.77,37.38,1.97,22.88,35.79,1.17,10.31,11.55,7.71,1.27,0.46,28.43,37.67,8.4,86.99,0.54,32.4201851851852
6,Pollination Contribution,5,3.76,26.83,1.9,77.86,4.49,7.39,0.5,2.76,17.89,1.64,80.98,1.77,21.18,15.43,57.09,7.79,48.51,14.8,52.59,53.08,99.95,21.73,1.27,17.14,7.53,25.62,11.33,11.17,4.95,14.44,37.23,6.65,5.98,82.52,42.38,28.95,28.31,10.6,52.49,22.24,73.74,25.48,50.0,26.53,17.48,3.19,25.73,100.0,30.5,55.39,2.47,65.95,15.92,100.0,99.59,3.36,4.4,31.03,9.78,10.2,21.19,69.07,13.15,27.35,91.93,6.45,61.26,31.6,19.65,35.09,2.48,3.99,6.83,15.06,5.34,24.44,55.85,53.68,1.88,1.42,7.14,46.84,60.11,0.0,1.47,36.3,40.22,1.21,2.27,51.66,2.83,25.72,25.53,38.14,71.47,1.23,18.57,3.65,10.73,0.0,23.91,3.73,37.29,3.66,0.77,6.3,10.66,37.11,3.97,8.42,63.15,85.5,3.25,30.78,89.13,31.57,57.76,58.66,22.44,18.1,42.77,28.92,22.01,8.92,3.82,36.15,6.05,14.49,60.11,36.69,100.0,0.3,3.13,25.14,40.1,5.22,100.0,4.84,23.93,8.24,10.08,1.46,26.41,25.7,69.66,91.35,0.91,29.8,2.19,19.56,27.13,4.12,10.81,9.06,7.49,1.53,0.43,16.78,30.56,8.57,72.51,1.15,27.213024691358036
7,Pollination Contribution,6,3.51,43.67,1.25,74.68,2.98,4.93,0.5,2.76,26.61,1.24,9.94,1.21,23.52,11.48,38.82,2.72,31.91,71.43,25.09,35.25,94.61,27.47,1.27,8.78,6.55,15.98,7.65,14.43,5.27,8.39,21.54,4.49,4.4,68.75,31.98,23.94,41.46,6.51,68.09,29.28,71.69,31.66,0.5,20.21,12.83,1.54,20.38,100.0,18.4,75.87,2.76,69.03,23.56,99.9,98.29,4.06,3.99,34.93,11.57,23.16,27.22,63.97,5.68,19.64,93.54,3.75,56.22,37.44,18.18,33.65,1.65,3.23,8.98,12.02,4.86,29.03,40.02,63.61,0.95,1.23,7.1,47.03,60.6,0.0,1.44,21.79,48.28,1.04,2.34,31.42,1.98,37.72,20.41,26.7,53.22,1.22,35.22,2.96,8.98,0.0,40.04,3.94,29.35,2.15,0.77,7.69,9.21,28.48,5.49,5.62,65.87,53.96,3.27,24.84,87.97,6.02,38.17,49.19,27.94,29.75,28.31,34.34,34.53,9.46,3.44,23.73,5.0,33.73,22.23,42.77,99.54,0.3,3.08,36.63,50.65,4.07,99.6,4.43,36.36,6.14,4.23,1.46,14.36,41.14,45.88,89.28,0.88,28.58,2.18,16.66,31.93,3.32,14.36,8.87,8.49,1.6,0.43,9.46,19.23,6.8,67.11,1.55,25.17808641975309
8,Pollination Contribution,7,5.03,47.59,0.7,67.02,4.06,5.72,0.5,2.76,30.59,1.13,50.0,1.44,29.01,15.35,61.59,2.53,48.56,79.03,25.1,36.17,97.86,30.58,1.27,10.64,6.4,16.56,10.89,16.78,5.31,9.97,31.23,6.32,5.57,71.0,55.69,22.55,42.05,16.87,74.09,34.56,70.47,38.03,0.5,27.63,16.66,0.39,25.79,99.83,14.87,79.58,2.3,64.96,35.79,100.0,99.0,4.13,4.5,39.45,13.14,30.28,31.56,72.41,6.17,21.81,93.68,11.1,64.7,45.04,19.16,40.12,1.2,2.49,11.33,11.53,4.15,35.89,67.13,63.77,0.16,1.3,8.22,50.38,61.0,0.0,1.35,22.65,51.84,1.11,2.23,39.66,0.03,43.15,28.72,23.18,58.96,1.2,40.81,3.05,11.16,0.0,56.56,3.67,32.55,2.35,0.84,9.85,9.08,46.1,5.67,6.79,66.2,16.56,3.63,36.51,89.28,15.67,44.58,57.73,32.1,42.06,35.05,38.98,40.71,11.25,3.17,8.58,5.1,39.6,24.89,68.29,100.0,0.23,2.89,39.88,56.02,4.77,99.51,4.29,39.04,7.0,9.98,1.3,16.37,46.98,71.86,87.42,0.8,32.41,1.9,16.36,36.92,2.96,19.91,12.04,9.56,1.5,0.43,15.72,21.62,2.5,68.37,1.49,28.309876543209864
9,Pollination Contribution,8,2.85,47.3,0.76,17.91,2.34,3.77,0.5,2.84,29.13,1.13,0.0,1.14,27.84,13.08,36.73,2.18,26.54,78.48,19.39,27.69,97.31,21.62,1.36,9.07,2.45,16.07,3.51,10.59,4.55,2.59,17.32,6.68,4.45,38.41,33.77,18.0,43.11,7.32,73.79,52.99,62.45,31.23,0.5,21.07,9.75,0.42,21.32,63.51,0.59,79.11,1.31,65.17,24.83,99.78,86.14,4.33,4.62,35.53,7.35,20.43,22.27,45.74,3.15,7.46,69.04,4.53,58.22,47.39,0.45,28.78,1.13,2.45,8.74,11.11,4.68,29.32,41.75,68.74,0.18,1.25,6.5,43.93,59.21,0.0,1.4,21.56,50.45,0.96,2.45,26.18,0.1,43.26,2.58,4.02,43.61,1.14,31.51,1.36,9.07,72.15,54.9,3.64,5.26,5.15,0.89,7.32,9.15,30.53,0.62,4.17,64.75,0.52,2.46,26.17,87.96,4.02,18.68,56.27,37.19,24.51,27.86,38.34,40.21,12.33,2.37,1.79,4.7,39.11,9.94,67.37,99.49,0.14,2.51,36.98,38.4,1.11,98.5,4.08,34.32,5.25,9.99,1.3,16.17,46.39,42.35,87.76,0.76,25.38,1.9,11.13,36.77,0.6,13.24,4.9,6.87,1.47,0.43,6.3,19.49,0.5,16.04,2.21,22.745246913580257
10,Pollination Contribution,9,3.5,40.87,1.06,45.73,2.44,5.64,0.5,2.75,19.68,1.12,50.0,1.72,22.8,13.28,51.39,2.16,29.64,65.14,26.85,27.52,90.49,26.51,1.31,12.8,4.59,18.48,4.72,13.22,4.72,2.68,19.15,4.86,4.36,49.51,32.26,19.7,37.73,6.6,65.33,27.08,66.51,30.8,0.5,20.35,11.97,1.1,19.77,81.3,10.59,69.27,1.84,57.98,19.68,99.83,91.07,4.32,3.9,32.97,10.02,21.4,25.12,65.25,4.33,9.82,91.83,3.91,55.88,29.66,10.51,35.5,1.39,3.28,8.4,10.87,4.46,21.06,39.89,56.16,0.61,1.17,8.68,45.6,60.08,0.0,1.36,25.11,43.75,1.22,2.1,28.71,1.92,32.95,18.56,10.56,60.25,1.13,32.47,1.43,8.71,8.72,35.92,2.94,13.91,5.47,0.91,6.6,9.05,28.73,1.3,4.22,61.32,41.21,2.98,25.01,87.99,4.96,27.88,55.14,26.37,27.46,27.79,33.47,32.7,9.45,3.0,12.67,4.71,31.03,14.46,41.56,99.49,0.2,2.98,34.02,33.14,2.8,98.96,3.86,31.85,6.43,5.26,1.36,16.53,38.47,63.99,87.76,0.68,27.51,1.91,11.37,31.48,2.4,13.41,8.98,7.83,1.5,0.42,7.8,25.77,4.06,30.94,2.04,23.289382716049374
